username;hit_id;positionx;positiony;positionz;time;session_id
manavld;1;35,44305;0,47364;2,268854;20/12/2020 04:44:22;6
manavld;2;43,93437;0,595347;-14,90309;20/12/2020 04:44:28;6
manavld;3;47,15071;0,28558;-22,13779;20/12/2020 04:44:33;6
manavld;4;57,17868;3,982685;-35,85493;20/12/2020 04:44:41;6
manavld;5;31,5206;0,3140353;0,3101395;20/12/2020 05:22:53;8
manavld;6;57,73031;3,982686;-34,65153;20/12/2020 05:23:18;8
manavld;7;26,42358;0,5436535;14,44996;20/12/2020 05:23:35;8
manavld;8;22,20152;0,2269634;24,19751;20/12/2020 05:23:41;8
manavld;9;-22,90347;0,9826857;33,13329;20/12/2020 15:21:50;10
manavld;10;-27,21046;0,9826857;28,9943;20/12/2020 15:21:55;10
